Edad,Ingreso,Experiencia,Hijos,EstadoCivil,Vivienda,HistorialCredito,VisitasWeb,Compra
31,33982,7,4,Casado,Propia,Bueno,3,Si
27,11708,33,2,Casado,Propia,Malo,13,No
21,57914,38,4,Soltero,Rentada,Regular,29,No
63,55529,24,2,Casado,Rentada,Regular,14,Si
57,52701,32,1,Casado,Rentada,Bueno,29,Si
45,17926,8,3,Casado,Propia,Regular,4,No
40,8389,16,3,Divorciado,Propia,Bueno,20,Si
32,52851,10,0,Soltero,Rentada,Regular,15,No
38,45370,18,2,Casado,Propia,Bueno,15,Si
37,58659,21,0,Soltero,Propia,Regular,7,Si
21,35545,8,1,Casado,Propia,Regular,6,No
64,46339,9,4,Casado,Propia,Bueno,29,Si
61,76277,24,2,Soltero,Propia,Bueno,22,Si
47,45783,20,1,Casado,Rentada,Bueno,16,Si
42,29878,10,0,Casado,Rentada,Bueno,11,Si
23,66206,19,2,Divorciado,Rentada,Regular,2,No
23,79079,11,3,Casado,Rentada,Bueno,12,Si
31,55569,38,1,Soltero,Propia,Regular,13,Si
41,66838,14,2,Soltero,Propia,Malo,23,Si
45,26553,5,1,Divorciado,Propia,Bueno,23,Si
59,53294,16,2,Soltero,Rentada,Bueno,25,Si
61,10793,4,0,Divorciado,Propia,Regular,5,No
54,30035,14,2,Soltero,Rentada,Regular,5,No
23,57774,31,3,Divorciado,Propia,Bueno,27,Si
31,78771,2,1,Soltero,Propia,Bueno,10,Si
23,64413,2,0,Divorciado,Propia,Regular,6,No
50,18184,14,1,Casado,Propia,Bueno,20,Si
26,63927,31,1,Casado,Propia,Bueno,16,Si
29,71471,7,0,Divorciado,Propia,Malo,24,No
43,35089,5,4,Divorciado,Rentada,Malo,17,No
34,39395,4,2,Casado,Propia,Regular,27,Si
58,34603,15,2,Casado,Rentada,Malo,19,No
39,45952,16,3,Casado,Propia,Malo,14,Si
26,75877,38,2,Soltero,Rentada,Bueno,22,Si
32,44123,4,3,Casado,Rentada,Bueno,8,Si
47,38664,23,4,Soltero,Rentada,Regular,19,Si
58,62793,26,2,Soltero,Propia,Regular,8,Si
37,50327,24,2,Soltero,Propia,Bueno,3,Si
30,19737,20,0,Soltero,Rentada,Regular,3,No
55,24725,7,3,Casado,Rentada,Bueno,14,Si
55,65576,33,3,Soltero,Propia,Bueno,22,Si
21,37012,14,0,Casado,Propia,Bueno,6,Si
65,72258,34,2,Soltero,Propia,Regular,23,Si
36,46663,25,1,Casado,Rentada,Bueno,6,Si
25,13805,35,2,Soltero,Rentada,Bueno,3,No
60,27697,33,0,Soltero,Rentada,Bueno,26,Si
65,70694,34,2,Casado,Propia,Regular,10,Si
42,78421,14,2,Soltero,Propia,Regular,9,Si
35,71690,2,0,Divorciado,Rentada,Regular,19,No
60,67030,40,4,Soltero,Propia,Regular,20,Si
45,78387,8,4,Divorciado,Propia,Bueno,27,Si
65,8690,35,0,Soltero,Rentada,Malo,9,No
20,45403,25,3,Soltero,Propia,Malo,14,Si
55,22178,9,2,Casado,Propia,Bueno,25,Si
49,66217,29,2,Divorciado,Propia,Bueno,25,Si
21,9978,35,4,Soltero,Rentada,Malo,15,No
39,30263,16,3,Casado,Propia,Regular,1,No
24,17061,24,3,Casado,Propia,Bueno,30,Si
50,56880,10,4,Casado,Propia,Bueno,4,Si
27,48781,30,4,Divorciado,Propia,Bueno,23,Si
49,67612,11,2,Soltero,Rentada,Regular,13,Si
58,24880,24,1,Soltero,Propia,Bueno,10,Si
21,32061,25,0,Casado,Propia,Bueno,1,Si
32,79579,38,2,Casado,Propia,Bueno,8,Si
23,11017,12,2,Soltero,Propia,Regular,4,No
64,60845,29,2,Casado,Propia,Bueno,10,Si
27,25923,2,1,Soltero,Rentada,Bueno,25,No
58,38337,30,0,Soltero,Propia,Regular,7,Si
44,48954,20,2,Soltero,Propia,Regular,22,Si
26,22168,34,2,Casado,Propia,Malo,27,No
33,43934,28,4,Divorciado,Propia,Bueno,30,Si
48,27442,12,4,Casado,Rentada,Bueno,25,Si
64,63822,29,2,Soltero,Rentada,Bueno,30,Si
40,60465,5,2,Soltero,Rentada,Regular,11,No
56,25278,10,3,Casado,Propia,Malo,25,No
52,42437,10,4,Soltero,Propia,Regular,10,No
60,57777,3,3,Soltero,Propia,Regular,21,Si
44,31790,21,0,Soltero,Rentada,Regular,24,No
65,36001,33,1,Casado,Propia,Bueno,20,Si
33,73558,29,3,Divorciado,Propia,Bueno,3,Si
28,43887,4,0,Soltero,Propia,Bueno,21,Si
34,53494,30,3,Casado,Propia,Regular,20,Si
26,36883,27,0,Casado,Propia,Regular,8,Si
21,74041,30,3,Soltero,Propia,Bueno,8,Si
50,16214,22,1,Soltero,Propia,Bueno,3,Si
26,18791,2,0,Casado,Propia,Malo,4,No
60,10623,34,2,Casado,Propia,Bueno,8,Si
30,77005,20,3,Soltero,Propia,Regular,27,Si
32,45741,20,2,Divorciado,Propia,Regular,6,Si
32,31629,9,0,Casado,Rentada,Bueno,28,Si
45,54081,11,4,Soltero,Rentada,Bueno,1,Si
62,47639,26,0,Casado,Propia,Bueno,8,Si
27,63139,36,4,Casado,Propia,Bueno,4,Si
33,70728,11,1,Soltero,Propia,Bueno,18,Si
64,47439,22,1,Soltero,Rentada,Regular,9,No
21,71647,21,2,Soltero,Rentada,Malo,19,No
61,52046,22,3,Divorciado,Propia,Bueno,22,Si
34,77955,22,2,Casado,Propia,Bueno,29,Si
43,67619,14,2,Casado,Propia,Bueno,6,Si
53,34392,25,0,Soltero,Propia,Malo,4,No
23,31566,27,4,Casado,Rentada,Bueno,8,No
37,52795,12,0,Casado,Propia,Regular,23,Si
44,8070,34,2,Divorciado,Propia,Regular,22,No
43,57891,36,1,Casado,Propia,Regular,15,Si
25,48517,37,0,Divorciado,Propia,Malo,21,Si
53,75695,3,0,Divorciado,Propia,Regular,1,No
57,58344,13,3,Soltero,Rentada,Malo,4,No
22,57644,36,4,Casado,Rentada,Regular,1,No
38,11358,7,3,Soltero,Propia,Regular,10,No
65,73997,33,3,Casado,Propia,Malo,28,Si
55,77901,1,0,Divorciado,Propia,Regular,30,Si
38,56485,7,3,Casado,Rentada,Bueno,6,Si
47,28817,24,0,Casado,Rentada,Bueno,13,Si
29,30764,26,2,Soltero,Propia,Regular,11,No
37,46764,10,3,Divorciado,Rentada,Bueno,25,Si
23,28587,16,1,Divorciado,Propia,Bueno,15,Si
31,48603,29,3,Soltero,Propia,Malo,2,Si
46,24401,37,0,Casado,Propia,Malo,9,No
48,63352,9,0,Casado,Propia,Bueno,21,Si
31,9705,33,0,Soltero,Propia,Malo,21,No
30,74699,14,0,Soltero,Propia,Bueno,20,Si
23,47331,21,2,Soltero,Rentada,Bueno,5,Si
65,67716,24,2,Casado,Rentada,Regular,25,Si
43,51090,13,2,Soltero,Propia,Bueno,25,Si
45,48011,24,2,Soltero,Rentada,Bueno,12,Si
47,31386,16,0,Soltero,Propia,Regular,18,No
23,61418,1,1,Soltero,Propia,Regular,6,No
55,29183,28,1,Soltero,Rentada,Bueno,18,Si
34,27849,20,2,Casado,Propia,Regular,5,No
41,70480,1,3,Soltero,Propia,Malo,14,Si
43,75006,31,1,Soltero,Propia,Malo,16,Si
43,47381,7,3,Divorciado,Propia,Bueno,27,Si
56,28401,35,3,Soltero,Propia,Malo,10,No
24,14223,26,3,Soltero,Propia,Regular,27,No
25,35843,26,1,Casado,Propia,Regular,23,Si
29,75480,22,4,Divorciado,Propia,Bueno,22,Si
22,25440,11,1,Casado,Rentada,Bueno,18,Si
57,74296,5,4,Soltero,Propia,Bueno,23,Si
53,21312,23,4,Soltero,Rentada,Regular,23,No
25,66958,36,0,Soltero,Propia,Regular,3,No
29,42960,24,3,Divorciado,Propia,Regular,17,Si
35,14570,19,3,Soltero,Propia,Regular,29,No
48,11218,36,2,Soltero,Propia,Bueno,8,Si
22,40309,5,0,Casado,Rentada,Malo,24,No
30,25777,20,4,Casado,Rentada,Regular,29,No
56,12434,30,4,Soltero,Rentada,Bueno,3,No
23,43411,32,3,Soltero,Rentada,Regular,16,No
23,11840,16,1,Soltero,Rentada,Bueno,23,No
43,78870,32,3,Casado,Rentada,Regular,13,Si
47,9687,1,4,Soltero,Propia,Bueno,26,Si
54,23059,39,3,Soltero,Propia,Bueno,22,Si
57,59391,32,1,Casado,Rentada,Regular,2,Si
43,22999,1,3,Divorciado,Propia,Bueno,20,Si
41,13055,13,4,Divorciado,Propia,Regular,8,No
45,30696,2,2,Soltero,Rentada,Bueno,4,No
37,76831,25,4,Soltero,Rentada,Regular,9,No
22,13561,23,3,Casado,Propia,Bueno,3,Si
65,16974,11,2,Casado,Propia,Regular,30,Si
30,53888,8,4,Divorciado,Propia,Bueno,20,Si
28,42672,3,1,Soltero,Propia,Bueno,10,Si
52,66763,4,1,Divorciado,Rentada,Malo,17,No
45,31714,4,4,Soltero,Rentada,Bueno,3,No
55,22884,11,1,Casado,Propia,Regular,22,Si
23,43545,10,2,Divorciado,Rentada,Bueno,6,No
21,11871,27,0,Soltero,Propia,Regular,8,No
27,19657,26,4,Casado,Propia,Bueno,23,Si
26,75707,21,3,Casado,Propia,Regular,19,Si
55,41965,2,4,Soltero,Rentada,Regular,3,No
53,56661,20,4,Divorciado,Propia,Bueno,23,Si
59,24200,10,1,Soltero,Propia,Bueno,6,No
38,17333,27,1,Soltero,Rentada,Bueno,13,Si
48,64374,28,3,Soltero,Rentada,Regular,12,Si
58,73528,16,2,Soltero,Propia,Malo,4,Si
25,69725,9,2,Soltero,Propia,Regular,13,No
29,67060,14,4,Casado,Rentada,Bueno,13,Si
60,22168,28,1,Soltero,Rentada,Bueno,26,Si
61,33364,3,2,Casado,Rentada,Bueno,2,No
24,29329,38,0,Soltero,Rentada,Bueno,19,No
43,78642,23,1,Casado,Propia,Bueno,13,Si
60,19495,23,2,Casado,Propia,Malo,19,Si
41,9487,13,1,Soltero,Propia,Bueno,22,Si
45,9190,25,2,Soltero,Rentada,Malo,9,No
56,64098,10,1,Casado,Rentada,Bueno,28,Si
64,19629,2,4,Casado,Propia,Bueno,16,Si
48,16759,10,2,Casado,Rentada,Regular,9,No
55,64285,5,2,Divorciado,Rentada,Regular,10,No
39,64691,32,1,Divorciado,Propia,Bueno,30,Si
37,45814,16,4,Casado,Propia,Regular,18,Si
59,30452,39,4,Divorciado,Rentada,Bueno,22,Si
64,26607,17,3,Soltero,Propia,Bueno,18,Si
60,40322,3,3,Soltero,Propia,Bueno,28,Si
34,14070,35,0,Divorciado,Propia,Regular,18,No
34,25695,38,3,Soltero,Rentada,Bueno,29,Si
43,52857,14,2,Casado,Propia,Regular,28,Si
48,17549,40,1,Divorciado,Propia,Bueno,29,Si
36,42116,25,0,Casado,Rentada,Malo,25,Si
44,39340,32,3,Divorciado,Propia,Malo,27,Si
35,69167,27,3,Casado,Propia,Regular,11,Si
36,41248,29,0,Divorciado,Propia,Malo,29,Si
40,46715,27,3,Casado,Propia,Bueno,18,Si
63,58449,39,3,Divorciado,Rentada,Bueno,4,Si
46,76530,33,3,Soltero,Rentada,Bueno,5,Si
24,19219,9,0,Casado,Rentada,Bueno,12,No
41,68128,38,2,Soltero,Rentada,Regular,27,Si
52,77460,14,0,Casado,Propia,Regular,8,Si
59,11373,29,0,Casado,Propia,Bueno,3,Si
21,65367,27,3,Casado,Propia,Regular,27,Si
54,11035,38,2,Soltero,Rentada,Regular,23,No
62,75588,25,1,Divorciado,Propia,Bueno,18,Si
38,44765,25,4,Soltero,Rentada,Bueno,21,Si
59,13940,0,1,Casado,Rentada,Bueno,2,No
46,15063,21,3,Soltero,Propia,Bueno,11,Si
59,29901,22,1,Casado,Rentada,Bueno,3,Si
55,26147,24,2,Soltero,Propia,Regular,8,No
58,77027,7,2,Soltero,Rentada,Regular,25,No
21,38873,33,3,Casado,Rentada,Bueno,30,Si
60,28711,14,2,Casado,Propia,Bueno,13,Si
37,10393,1,3,Soltero,Rentada,Malo,8,No
65,13473,11,3,Casado,Propia,Bueno,19,Si
42,45415,17,0,Soltero,Propia,Malo,13,Si
45,19469,6,1,Casado,Propia,Bueno,19,Si
30,57962,26,0,Casado,Propia,Bueno,25,Si
20,57722,1,3,Divorciado,Rentada,Bueno,8,No
55,10608,34,4,Casado,Propia,Bueno,13,Si
39,38449,12,4,Divorciado,Propia,Bueno,4,Si
50,16075,3,3,Soltero,Propia,Malo,13,No
27,73827,27,4,Casado,Propia,Bueno,29,Si
59,57529,22,1,Soltero,Rentada,Bueno,1,Si
43,59051,17,0,Casado,Propia,Regular,26,Si
39,18272,20,1,Divorciado,Propia,Bueno,12,Si
34,24726,38,2,Soltero,Propia,Bueno,27,Si
49,66173,13,0,Casado,Propia,Bueno,22,Si
39,9960,12,0,Casado,Propia,Bueno,5,Si
57,24844,19,1,Soltero,Rentada,Regular,3,No
21,70226,12,0,Divorciado,Propia,Regular,1,No
25,36190,7,3,Casado,Rentada,Bueno,17,Si
61,48976,3,1,Soltero,Propia,Bueno,4,Si
37,25115,5,4,Soltero,Rentada,Bueno,27,No
55,54787,23,1,Soltero,Propia,Bueno,17,Si
33,66130,23,4,Casado,Propia,Malo,21,Si
45,43030,19,1,Soltero,Rentada,Bueno,11,Si
53,25959,12,3,Casado,Rentada,Malo,2,No
49,72891,33,2,Soltero,Rentada,Regular,28,Si
26,62060,7,3,Soltero,Propia,Malo,2,No
49,13271,33,3,Soltero,Propia,Regular,11,No
37,47573,4,2,Casado,Rentada,Bueno,9,Si
41,11796,15,4,Casado,Rentada,Bueno,2,Si
36,15064,15,3,Casado,Rentada,Regular,4,No
50,32720,13,2,Soltero,Propia,Bueno,23,Si
36,75706,26,2,Soltero,Propia,Regular,4,Si
50,60338,30,1,Divorciado,Rentada,Regular,15,Si
32,20286,13,0,Soltero,Propia,Bueno,18,Si
46,41698,30,1,Divorciado,Propia,Regular,27,Si
39,46096,13,0,Divorciado,Rentada,Bueno,24,Si
36,63863,23,3,Soltero,Propia,Regular,25,Si
48,78939,34,1,Casado,Propia,Regular,30,Si
58,33281,14,3,Casado,Propia,Regular,11,Si
54,53601,19,2,Soltero,Propia,Bueno,8,Si
27,68014,27,1,Soltero,Rentada,Bueno,23,Si
62,59071,37,4,Soltero,Rentada,Bueno,19,Si
57,76629,26,2,Casado,Rentada,Bueno,20,Si
34,37097,0,4,Casado,Propia,Bueno,18,Si
20,57251,11,4,Soltero,Propia,Bueno,12,Si
52,73141,38,0,Casado,Propia,Malo,29,Si
22,46440,26,4,Casado,Propia,Bueno,18,Si
58,58233,35,1,Soltero,Rentada,Regular,10,No
57,26494,30,3,Divorciado,Propia,Regular,21,No
34,66694,23,4,Divorciado,Rentada,Regular,1,No
61,70942,31,0,Soltero,Propia,Bueno,10,Si
37,53956,19,4,Divorciado,Rentada,Regular,13,Si
57,30427,22,3,Casado,Propia,Regular,14,Si
50,50870,2,1,Divorciado,Propia,Bueno,17,Si
39,67290,15,4,Soltero,Rentada,Bueno,30,Si
26,39156,1,2,Soltero,Propia,Bueno,22,Si
56,23129,36,3,Soltero,Propia,Malo,29,No
46,16880,20,4,Soltero,Propia,Regular,18,No
27,52347,2,3,Soltero,Propia,Regular,1,No
33,50522,11,3,Soltero,Propia,Regular,12,Si
34,57744,27,3,Casado,Rentada,Regular,23,Si
26,74895,24,3,Casado,Rentada,Bueno,2,Si
52,40543,15,0,Casado,Propia,Malo,9,Si
53,44360,11,0,Casado,Propia,Bueno,26,Si
23,60678,20,0,Divorciado,Propia,Regular,30,Si
20,15915,21,3,Soltero,Propia,Bueno,24,Si
60,17124,18,1,Divorciado,Rentada,Bueno,2,No
33,72231,11,2,Divorciado,Propia,Bueno,25,Si
50,22846,11,0,Soltero,Propia,Bueno,7,Si
57,75748,22,3,Soltero,Propia,Bueno,20,Si
39,66493,34,0,Casado,Rentada,Malo,11,Si
22,60006,8,2,Casado,Rentada,Bueno,2,Si
54,72131,20,0,Divorciado,Propia,Regular,29,Si
65,40688,16,3,Casado,Rentada,Malo,29,Si
52,57033,1,0,Casado,Propia,Bueno,18,Si
34,16034,36,1,Divorciado,Rentada,Malo,25,No
22,49494,10,3,Divorciado,Propia,Bueno,26,Si
47,75398,20,1,Casado,Rentada,Bueno,7,Si
46,66558,4,4,Soltero,Rentada,Bueno,30,Si
52,58753,33,4,Casado,Rentada,Bueno,14,Si
38,26725,36,4,Divorciado,Propia,Regular,21,No
52,20947,31,2,Soltero,Rentada,Regular,28,No
50,26334,9,0,Casado,Rentada,Regular,26,No
23,77277,38,0,Casado,Propia,Bueno,28,Si
51,47087,12,3,Casado,Propia,Malo,27,Si
61,36376,1,1,Casado,Propia,Bueno,17,Si
47,36681,22,1,Soltero,Propia,Malo,7,Si
35,79760,39,3,Soltero,Rentada,Malo,11,Si
62,69320,2,4,Casado,Rentada,Regular,1,No
47,28330,20,1,Casado,Propia,Regular,15,Si
34,9951,9,0,Casado,Rentada,Bueno,16,Si
41,9111,2,2,Casado,Propia,Regular,19,No
50,8109,14,1,Soltero,Propia,Regular,2,No
40,56395,9,0,Casado,Rentada,Bueno,12,Si
51,52276,8,4,Soltero,Propia,Bueno,16,Si
26,22698,15,2,Casado,Rentada,Bueno,18,Si
52,74478,23,4,Casado,Propia,Malo,2,Si
27,58669,19,0,Casado,Propia,Bueno,16,Si
33,15736,29,4,Casado,Rentada,Malo,28,No
44,56419,12,3,Soltero,Rentada,Bueno,29,Si
51,20483,0,0,Soltero,Propia,Regular,30,No
47,15174,3,4,Soltero,Rentada,Bueno,9,No
21,34258,6,3,Soltero,Propia,Malo,7,No
36,23899,35,3,Casado,Propia,Bueno,1,Si
46,73428,20,4,Soltero,Rentada,Bueno,21,Si
21,56236,29,4,Soltero,Propia,Bueno,2,Si
27,26608,38,3,Soltero,Propia,Regular,10,No
57,28947,26,0,Soltero,Propia,Bueno,23,Si
39,43704,25,0,Soltero,Rentada,Malo,11,Si
56,40043,18,4,Casado,Rentada,Malo,24,Si
40,51381,13,2,Divorciado,Rentada,Bueno,10,Si
45,78116,39,1,Soltero,Propia,Bueno,12,Si
50,65644,30,4,Soltero,Rentada,Malo,9,No
39,28018,6,3,Casado,Propia,Regular,13,No
25,47409,32,2,Soltero,Propia,Bueno,21,Si
34,55108,8,2,Divorciado,Rentada,Regular,6,No
20,74241,1,1,Casado,Propia,Bueno,25,Si
45,59770,35,1,Soltero,Propia,Bueno,13,Si
48,40456,6,2,Soltero,Rentada,Regular,14,No
21,26305,4,0,Soltero,Propia,Bueno,10,No
41,75362,21,3,Soltero,Propia,Regular,7,Si
48,14443,33,4,Soltero,Propia,Malo,14,No
28,11693,15,2,Casado,Rentada,Regular,20,No
60,26115,13,1,Soltero,Propia,Regular,23,No
40,76851,8,1,Soltero,Rentada,Regular,2,No
51,59539,5,1,Divorciado,Rentada,Regular,10,No
51,22271,36,2,Soltero,Rentada,Regular,17,No
63,37070,40,1,Soltero,Propia,Bueno,19,Si
59,67793,1,0,Casado,Rentada,Bueno,5,Si
45,56838,36,0,Soltero,Propia,Bueno,11,Si
32,44802,18,3,Soltero,Propia,Bueno,5,Si
22,68615,16,3,Casado,Rentada,Bueno,20,Si
51,27228,0,0,Casado,Propia,Bueno,24,Si
52,61376,3,2,Casado,Propia,Bueno,12,Si
52,26549,36,3,Casado,Propia,Bueno,7,Si
61,22548,29,3,Casado,Propia,Bueno,6,Si
61,10278,29,2,Soltero,Rentada,Regular,14,No
32,38764,28,3,Casado,Rentada,Regular,22,Si
62,31841,20,4,Soltero,Propia,Bueno,6,Si
25,71663,2,4,Casado,Propia,Regular,4,No
23,75447,24,0,Soltero,Rentada,Bueno,7,Si
57,44966,2,4,Soltero,Propia,Malo,11,Si
25,67179,10,4,Soltero,Rentada,Regular,1,No
22,42486,38,2,Soltero,Propia,Bueno,18,Si
46,30779,36,3,Divorciado,Rentada,Malo,4,No
59,75060,20,0,Casado,Rentada,Bueno,28,Si
39,74980,13,1,Casado,Propia,Regular,23,Si
37,12092,38,1,Casado,Propia,Regular,14,Si
39,30800,30,2,Soltero,Rentada,Bueno,4,No
49,31120,39,0,Casado,Rentada,Bueno,18,Si
29,12297,26,4,Soltero,Propia,Malo,12,No
42,48640,16,4,Soltero,Propia,Regular,18,Si
22,73737,23,1,Soltero,Rentada,Bueno,19,Si
28,9560,34,4,Casado,Rentada,Bueno,10,No
38,43343,18,0,Casado,Propia,Regular,12,Si
55,56698,33,4,Casado,Propia,Bueno,12,Si
59,57203,2,1,Casado,Propia,Bueno,29,Si
46,36010,17,4,Casado,Propia,Malo,2,Si
61,38287,30,0,Soltero,Rentada,Bueno,4,Si
47,76456,14,0,Divorciado,Rentada,Bueno,30,Si
62,39259,25,4,Casado,Rentada,Regular,10,Si
27,48123,40,3,Divorciado,Rentada,Bueno,30,Si
61,17720,16,2,Soltero,Propia,Bueno,12,Si
27,59614,12,0,Soltero,Propia,Malo,30,Si
37,75573,17,0,Casado,Propia,Malo,28,Si
40,29980,11,1,Casado,Rentada,Bueno,17,Si
65,12001,21,3,Casado,Rentada,Malo,22,No
32,15780,36,1,Soltero,Propia,Bueno,5,Si
46,74515,10,1,Casado,Rentada,Malo,25,Si
59,52122,12,1,Soltero,Propia,Regular,12,Si
35,15460,35,3,Casado,Rentada,Regular,1,No
59,66528,24,1,Casado,Rentada,Bueno,16,Si
28,38447,18,4,Soltero,Rentada,Bueno,23,Si
46,58000,0,0,Casado,Rentada,Bueno,26,Si
36,13034,13,2,Soltero,Propia,Malo,15,No
22,35631,1,2,Soltero,Rentada,Malo,5,No
23,20328,4,3,Divorciado,Propia,Regular,10,No
59,37924,6,3,Soltero,Propia,Bueno,28,Si
20,69008,26,2,Casado,Propia,Bueno,17,Si
33,27985,30,4,Divorciado,Propia,Bueno,21,Si
27,44749,40,0,Casado,Propia,Bueno,7,Si
26,14031,15,4,Soltero,Rentada,Bueno,23,No
49,10172,23,2,Divorciado,Propia,Regular,4,No
44,62551,32,2,Soltero,Propia,Bueno,24,Si
58,26114,33,0,Casado,Rentada,Bueno,7,Si
35,36454,5,0,Casado,Propia,Bueno,24,Si
30,65916,2,3,Casado,Rentada,Bueno,20,Si
44,58459,33,3,Soltero,Propia,Bueno,12,Si
52,65735,10,4,Soltero,Propia,Bueno,5,Si
40,60622,20,2,Casado,Propia,Bueno,5,Si
29,9937,38,4,Casado,Rentada,Malo,21,No
28,41299,23,3,Casado,Propia,Bueno,18,Si
20,48601,1,1,Casado,Rentada,Bueno,16,Si
53,67329,35,0,Divorciado,Propia,Bueno,17,Si
50,41701,29,2,Soltero,Propia,Bueno,20,Si
40,67269,26,2,Soltero,Rentada,Regular,24,Si
43,16194,6,1,Soltero,Rentada,Malo,12,No
38,15060,0,2,Casado,Propia,Malo,4,No
40,60694,39,2,Soltero,Propia,Bueno,5,Si
44,26937,22,1,Casado,Rentada,Bueno,9,Si
39,30611,6,3,Casado,Propia,Regular,17,No
45,42811,16,0,Soltero,Rentada,Bueno,23,Si
26,43585,27,3,Casado,Propia,Bueno,19,Si
22,76527,19,1,Soltero,Rentada,Regular,3,No
59,41127,30,4,Soltero,Propia,Bueno,27,Si
27,42598,31,0,Soltero,Propia,Bueno,12,Si
49,54949,37,4,Divorciado,Propia,Regular,8,Si
30,40029,2,2,Casado,Rentada,Malo,28,No
27,50655,16,0,Casado,Propia,Malo,24,Si
56,29274,19,4,Soltero,Rentada,Bueno,1,No
36,14614,30,4,Soltero,Rentada,Bueno,20,Si
27,75406,8,4,Casado,Propia,Bueno,27,Si
63,58786,22,2,Soltero,Propia,Malo,21,Si
49,55409,31,0,Casado,Rentada,Bueno,25,Si
62,41730,23,3,Soltero,Propia,Malo,7,Si
62,13543,8,2,Casado,Propia,Regular,12,No
35,28437,29,0,Soltero,Propia,Bueno,25,Si
23,18417,20,4,Casado,Propia,Malo,9,No
40,56934,22,1,Casado,Propia,Regular,27,Si
